# AMBE-3000 rate_conversion_pairs.csv — per (source, target) rate-pair conversion configuration.
# Full 64x64 matrix over chip rate indices 0-61 + project extensions 62, 63 (P25 full-rate IMBE w/ and w/o FEC).
# Classification rules: identity pairs are passthrough; chip 33<->34 and 62<->{33,34}<->63 are normative spec §4 targets.
# Pairs involving chip 35-61 are "pending" until halfrate_bit_allocations.csv is resolved for those indices.
# Cross-generation pairs (AMBE-1000 <-> AMBE-2000 <-> AMBE+2) are out of current spec scope.
# See rate_conversion_pairs_sources.md for full classification rules and examples.
source_rate,target_rate,supported,voicing_xform,magnitude_xform,unvoiced_compensation,predictor_rho,category,notes
0,0,yes,none,none,none,n/a,identity,Source = target; passthrough (§8 validation pair).
0,1,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,2,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,3,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,4,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,5,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,6,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,7,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,8,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,9,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,10,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,11,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,12,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,13,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,14,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,15,no,n/a,n/a,n/a,n/a,ambe_1000_internal,AMBE-1000 generation cross-rate pair; outside current rate-converter spec scope (no normative per-rate bit allocations).
0,16,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,17,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,18,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,19,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,20,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,21,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,22,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,23,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,24,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,25,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,26,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,27,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,28,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,29,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,30,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,31,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,32,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_2000); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,33,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_plus_2_halfrate); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,34,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_plus_2_halfrate); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,35,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_plus_2_halfrate); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,36,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_plus_2_halfrate); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
0,37,no,n/a,n/a,n/a,n/a,cross_generation,Cross-generation pair (ambe_1000 -> ambe_plus_2_halfrate); outside current rate-converter spec scope. MbeParams interchange may be feasible but per-generation encoder/decoder pipelines differ.
